county,state,num_wells,average_change
017,39,15,-2.56095577833333
021,39,8,0.30384375
023,39,15,0.2967325396
043,39,1,7.401428571
047,39,1,-0.27
049,39,46,2.22248550723913
053,39,1,-5.405
055,39,45,0.0264719576666666
057,39,1,0.61
061,39,9,-1.397026455
065,39,1,-1.53
073,39,1,-3.365
083,39,1,-0.75
095,39,12,-0.473477182583333
097,39,1,-0.41
099,39,1,-0.355
109,39,1,-1.865
113,39,4,-3.6766666675
129,39,9,1.538573633
133,39,11,0.607797258181818
139,39,10,1.0659781747
157,39,12,-81.2328120489167
165,39,1,-1.19
171,39,1,-1.335
001,40,2,-3
003,40,4,-0.7075
005,40,1,2.61
007,40,16,1.700625
009,40,15,-0.998666666666667
011,40,4,-1.17
013,40,1,-6.04
015,40,19,1.24205263157895
017,40,3,4.34
021,40,2,-2.935
023,40,3,2.5
025,40,22,12.7613636363636
027,40,4,0.907
031,40,5,-2.1553666666
033,40,1,-8.75
035,40,1,1.29
037,40,1,3.095
039,40,8,-5.0775
043,40,8,-9.59875
045,40,25,-6.3152
047,40,10,1.397
049,40,1,-2.48
051,40,2,2.73
053,40,3,-0.963333333333333
055,40,10,5.538
057,40,9,6.47933333333333
059,40,7,9.58428571428571
063,40,1,0.88
065,40,3,9.71666666666667
069,40,4,7.098125
071,40,1,0.02
073,40,11,-0.212727272727273
075,40,13,-1.06384615384615
081,40,2,-5.02
083,40,1,1.42
087,40,1,0.74
089,40,2,3.335
091,40,2,-2.705
093,40,11,-1.91636363636364
095,40,1,3.7
097,40,1,-6.7
099,40,1,9.0575
105,40,2,1.2
107,40,2,-4.665
109,40,6,-0.165
