YEAR,STATE,FIPS,TP-TotPop,TO-WGWTo,TO-WTotl,pcnt_groundwater
2010,CO,08069,299.63,4.12,412.85,0.00997941140850188
2010,CO,08071,15.507,3.66,73.73,0.0496405804964058
2010,CO,08073,5.467,3.49,4.49,0.77728285077951
2010,CO,08075,22.709,58.88,164.4,0.358150851581509
2010,CO,08077,146.723,1.26,754.73,0.00166947120162177
2010,CO,08079,0.712,0.71,18.48,0.0384199134199134
2010,CO,08081,13.795,2.38,170.12,0.0139901246179168
2010,CO,08083,25.535,0.74,255.08,0.00290105065077623
2010,CO,08085,41.276,1.37,702.86,0.00194917906837777
2010,CO,08087,28.159,27.42,186.03,0.147395581357846
2010,CO,08089,18.831,23.96,436.79,0.0548547356853408
2010,CO,08091,4.436,1.43,110.99,0.0128840436075322
2010,CO,08093,16.206,2.11,24.4,0.0864754098360656
2010,CO,08095,4.442,58.83,58.93,0.998303071440692
2010,CO,08097,17.148,1.31,123.36,0.0106193255512322
2010,CO,08099,12.551,46.77,152.26,0.307171942729542
2010,CO,08101,159.063,16.06,288.87,0.0555959428116454
2010,CO,08103,6.666,14.12,267.16,0.0528522233867345
2010,CO,08105,11.982,141.12,579.2,0.243646408839779
2010,CO,08107,23.509,1.26,204,0.00617647058823529
2010,CO,08109,6.108,157.08,270.92,0.579802155617895
2010,CO,08111,0.699,0.28,1.56,0.179487179487179
2010,CO,08113,7.359,0.77,37.94,0.0202952029520295
2010,CO,08115,2.379,15.81,61.42,0.257408010420059
2010,CO,08117,27.994,2.99,68.7,0.0435225618631732
2010,CO,08119,23.35,1.74,7.6,0.228947368421053
2010,CO,08121,4.814,59.76,73.4,0.8141689373297
2010,CO,08123,252.825,20.85,462.13,0.0451171748209378
2010,CO,08125,10.043,215.23,220.81,0.974729405371134
2010,CT,09001,916.829,105.79,494.34,0.214002508395032
2010,CT,09003,894.014,34.99,200.73,0.174313754794998
2010,CT,09005,189.927,10.49,68.44,0.153272939801286
2010,CT,09007,165.676,10.16,133.64,0.0760251421730021
2010,CT,09009,862.477,26.27,113.53,0.231392583458117
2010,CT,09011,274.055,5.32,2249.81,0.00236464412550393
2010,CT,09013,152.691,13.01,15.89,0.818753933291378
2010,CT,09015,118.428,10.11,34.58,0.292365529207634
2010,DE,10001,162.31,39.17,43.3,0.904618937644342
2010,DE,10003,538.479,30.02,404.68,0.0741820697835327
2010,DE,10005,197.145,87.12,269.48,0.32328929790708
2010,DC,11001,601.723,0.05,0.1,0.5
2010,FL,12001,247.336,53.25,53.8,0.989776951672863
2010,FL,12003,27.115,4.98,5.18,0.961389961389962
2010,FL,12005,168.852,8.13,301.36,0.0269777010883993
2010,FL,12007,28.52,4.28,4.32,0.990740740740741
2010,FL,12009,543.376,67.53,251.36,0.26865849777212
2010,FL,12011,1748.066,249.48,1279.14,0.195037290679675
2010,FL,12013,14.625,3.9,4.11,0.948905109489051
2010,FL,12015,159.978,21.3,58.77,0.362429811128127
2010,FL,12017,141.236,33.42,1201.17,0.0278228726991184
2010,FL,12019,190.865,20.47,23.31,0.878163878163878
2010,FL,12021,321.52,211.28,256.92,0.822357153977892
2010,FL,12023,67.531,13.55,13.7,0.989051094890511
2010,FL,12027,34.862,73.87,97.38,0.758574655986856
2010,FL,12029,16.422,4.57,4.59,0.995642701525055
2010,FL,12031,864.263,153.46,758.12,0.202421780193109
2010,FL,12033,297.619,78.62,311.68,0.252245893223819
2010,FL,12035,95.696,21.26,23.42,0.907771135781383
2010,FL,12037,11.549,2.01,2.29,0.877729257641921
2010,FL,12039,46.389,10.76,17.79,0.604834176503654
2010,FL,12041,16.939,9.04,9.11,0.99231613611416
2010,FL,12043,12.884,40.55,162.33,0.249799790550114
2010,FL,12045,15.863,0.96,2.26,0.424778761061947
2010,FL,12047,14.799,37.41,37.49,0.997866097626034
2010,FL,12049,27.731,52.37,52.44,0.998665141113654
2010,FL,12051,39.14,110.81,424.05,0.261313524348544
2010,FL,12053,172.778,38.4,38.81,0.989435712445246
2010,FL,12055,98.786,93.81,107.82,0.870061213133
2010,FL,12057,1229.226,150.59,1960.73,0.0768030274438602
2010,FL,12059,19.927,4.36,4.5,0.968888888888889
2010,FL,12061,138.028,57.28,154.51,0.370720341725455
2010,FL,12063,49.746,22.12,62.81,0.352173220824709
2010,FL,12065,14.761,7.17,7.31,0.980848153214774
2010,FL,12067,8.87,6.35,6.4,0.9921875
2010,FL,12069,297.052,92.43,104.86,0.881460995613199
2010,FL,12071,618.754,130.24,746.56,0.174453493356194
2010,FL,12073,275.487,36.85,37.59,0.980313913274807
2010,FL,12075,40.801,31.89,32.51,0.980928944940019
2010,FL,12077,8.365,1.51,1.51,1
2010,FL,12079,19.224,13.9,14.03,0.990734141126158
2010,FL,12081,322.833,98.65,126.5,0.779841897233202
2010,FL,12083,331.298,63.26,65.35,0.968018362662586
2010,FL,12085,146.318,29.42,101.11,0.290970230442093
2010,FL,12086,2496.435,434.89,461.04,0.943280409508936
2010,FL,12087,73.09,0.74,1.19,0.621848739495798
2010,FL,12089,73.314,49.12,50.33,0.975958672759785
2010,FL,12091,180.822,26.26,26.26,1
2010,FL,12093,39.996,48.03,61.92,0.775678294573643
2010,FL,12095,1145.956,230.14,238.31,0.965716923335152
2010,FL,12097,268.685,90.69,97.63,0.928915292430605
2010,FL,12099,1320.134,257.66,706.54,0.36467857446146
2010,FL,12101,464.697,94.12,1658.76,0.0567411801586727
2010,FL,12103,916.542,19.58,492.95,0.039720052743686
2010,FL,12105,602.095,251.39,298.67,0.841698195332641
2010,FL,12107,74.364,30.47,74.67,0.408062140083032
2010,FL,12109,190.039,39.04,43.88,0.889699179580674
2010,FL,12111,277.789,42.82,1201.34,0.0356435313899479
2010,FL,12113,151.372,25.22,26.2,0.962595419847328
2010,FL,12115,379.448,28.44,31.26,0.90978886756238
2010,FL,12117,422.718,67.75,69.14,0.979895863465432
2010,FL,12119,93.42,31.62,31.97,0.989052236471692
2010,FL,12121,41.551,29.83,138.17,0.215893464572628
2010,FL,12123,22.57,42.87,42.9,0.999300699300699
2010,FL,12125,15.535,2.66,2.67,0.99625468164794
2010,FL,12127,494.593,91.66,228.32,0.40145409950946
2010,FL,12129,30.776,5.06,5.32,0.951127819548872
2010,FL,12131,55.043,13.36,13.85,0.964620938628159
2010,FL,12133,24.896,3.61,3.68,0.980978260869565
2010,GA,13001,18.236,3.54,60.93,0.0580994583948794
2010,GA,13003,8.375,1.68,2.62,0.641221374045801
2010,GA,13005,11.096,1.97,2.25,0.875555555555556
2010,GA,13007,3.451,31.82,36.47,0.872497943515218
2010,GA,13009,45.72,0.15,6.91,0.0217076700434153
2010,GA,13011,18.395,0.74,3.67,0.201634877384196
2010,GA,13013,69.367,1.24,6.51,0.19047619047619
2010,GA,13015,100.157,3.14,109.19,0.0287572121989193
2010,GA,13017,17.634,5.37,5.97,0.899497487437186
2010,GA,13019,19.286,3.95,4.93,0.801217038539554
2010,GA,13021,155.547,5.42,41.92,0.129293893129771
2010,GA,13023,13.063,6.71,8.28,0.810386473429952
2010,GA,13025,18.411,1.63,1.74,0.936781609195402
2010,GA,13027,16.243,8.29,8.71,0.951779563719862
2010,GA,13029,30.233,2.89,3.25,0.889230769230769
2010,GA,13031,70.217,7.3,8.98,0.812917594654788
2010,GA,13033,23.316,9.16,74.64,0.122722400857449
2010,GA,13035,23.655,0.43,3,0.143333333333333
2010,GA,13037,6.694,10.66,27.81,0.383315354189141
2010,GA,13039,50.513,6.12,6.4,0.95625
2010,GA,13043,10.998,1.4,2.2,0.636363636363636
2010,GA,13045,110.527,2.27,15.02,0.151131824234354
2010,GA,13047,63.942,0.54,6.94,0.0778097982708934
2010,GA,13049,12.171,1.23,1.26,0.976190476190476
2010,GA,13051,265.128,54.05,278.19,0.194291671159999
2010,GA,13053,11.267,0.88,0.88,1
2010,GA,13055,26.015,1.78,10.83,0.164358264081256
2010,GA,13057,214.346,1.83,24.38,0.0750615258408532
2010,GA,13059,116.714,1.64,15.14,0.108322324966975
2010,GA,13061,3.183,2.87,4.8,0.597916666666667
2010,GA,13063,259.424,0.34,7.73,0.0439844760672704
2010,GA,13065,6.798,3.31,3.37,0.982195845697329
2010,GA,13067,688.078,4.61,55.02,0.0837877135587059
2010,GA,13069,42.356,7.61,9.44,0.80614406779661
2010,GA,13071,45.498,15.02,24.15,0.621946169772257
2010,GA,13073,124.053,2.15,19.08,0.112683438155136
2010,GA,13075,17.212,7.4,8.62,0.8584686774942
2010,GA,13077,127.317,1.41,53.11,0.0265486725663717
2010,GA,13079,12.63,3.25,3.48,0.933908045977011
2010,GA,13081,23.439,16,21.03,0.760817879220162
2010,GA,13083,16.633,0.1,2.28,0.043859649122807
2010,GA,13085,22.33,0.58,2.45,0.236734693877551
2010,GA,13087,27.842,71.88,73.52,0.977693144722524
2010,GA,13089,691.89,0.93,2.66,0.349624060150376
2010,GA,13091,21.796,10.37,13.51,0.767579570688379
2010,GA,13093,14.918,24.65,29.27,0.84215920737957
2010,GA,13095,94.565,31.96,82.33,0.388193854002186
2010,GA,13097,132.403,0.81,23,0.0352173913043478
2010,GA,13099,11.008,30.34,146.39,0.207254593893026
2010,GA,13101,4.034,1.36,1.51,0.900662251655629
2010,GA,13103,52.25,5.6,122.81,0.0455988925983226
2010,GA,13105,20.166,1.48,3.46,0.427745664739884
2010,GA,13107,22.598,6.35,6.6,0.962121212121212
2010,GA,13109,11,4.09,5.01,0.816367265469062
2010,GA,13111,23.682,1.04,9.25,0.112432432432432
2010,GA,13113,106.567,2.22,12.85,0.172762645914397
2010,GA,13115,96.317,2.22,474.66,0.00467703198078625
2010,GA,13117,175.511,1.14,27.36,0.0416666666666667
2010,GA,13119,22.084,1.51,4.73,0.319238900634249
2010,GA,13121,920.581,4.77,208.52,0.0228755035488203
2010,GA,13123,28.292,2.71,6.79,0.399116347569956
2010,GA,13125,3.082,0.32,0.4,0.8
2010,GA,13127,79.626,55.54,64.56,0.860285006195787
2010,GA,13129,55.186,3.94,13.53,0.29120473022912
2010,GA,13131,25.011,7.49,9.81,0.763506625891947
2010,GA,13133,15.994,1.73,4.48,0.386160714285714
2010,GA,13135,805.321,8.75,10.55,0.829383886255924
2010,GA,13137,43.041,2.32,12.16,0.190789473684211
2010,GA,13139,179.684,3.62,100.23,0.0361169310585653
2010,GA,13141,9.429,1.02,2.32,0.439655172413793
2010,GA,13143,28.78,0.59,3.91,0.150895140664962
2010,GA,13145,32.024,1.15,7.11,0.161744022503516
2010,GA,13147,25.213,1.54,4.23,0.364066193853428
2010,GA,13149,11.834,0.33,50.5,0.00653465346534654
2010,GA,13151,203.922,4.36,42.95,0.10151338766007
2010,GA,13153,139.9,33.65,34.23,0.983055799006719
2010,GA,13155,9.538,5.29,8.81,0.600454029511918
2010,GA,13157,60.485,2.38,13.53,0.175905395417591
2010,GA,13159,13.9,1.39,2.89,0.480968858131488
2010,GA,13161,15.068,3.63,4.65,0.780645161290322
2010,GA,13163,16.93,13.67,17.05,0.801759530791789
2010,GA,13165,8.34,1.9,2.67,0.711610486891386
2010,GA,13167,9.98,1.83,1.96,0.933673469387755
2010,GA,13169,28.669,3.66,10.27,0.356377799415774
2010,GA,13171,18.317,1.98,3.83,0.516971279373368
